service_id,date,exception_type
20150816_MTWTF--_28,20160114,1
20150816_MTWTF--_28,20160115,1
20150816_MTWTF--_28,20160118,1
20150816_MTWTF--_28,20160119,1
20150816_MTWTF--_28,20160120,1
20150816_MTWTF--_28,20160121,1
20150816_MTWTF--_28,20160122,1
20150816_MTWTF--_28,20160125,1
20150816_MTWTF--_28,20160126,1
20150816_MTWTF--_28,20160127,1
20150816_MTWTF--_28,20160128,1
20150816_MTWTF--_28,20160129,1
20150816_MTWTF--_28,20160201,1
20150816_MTWTF--_28,20160202,1
20150816_MTWTF--_28,20160203,1
20150816_MTWTF--_28,20160204,1
20150816_MTWTF--_28,20160205,1
20150816_MTWTF--_28,20160208,1
20150816_MTWTF--_28,20160209,1
20150816_MTWTF--_28,20160210,1
20150816_MTWTF--_28,20160211,1
20150816_MTWTF--_28,20160212,1
20150816_MTWTF--_28,20160215,1
20150816_MTWTF--_28,20160216,1
20150816_MTWTF--_28,20160217,1
20150816_MTWTF--_28,20160218,1
20150816_MTWTF--_28,20160219,1
20150816_MTWTF--_28,20160222,1
20150816_MTWTF--_28,20160223,1
20150816_MTWTF--_28,20160224,1
20150816_MTWTF--_28,20160225,1
20150816_MTWTF--_28,20160226,1
20150816_MTWTF--_28,20160229,1
20150816_MTWTF--_28,20160301,1
20150816_MTWTF--_28,20160302,1
20150816_MTWTF--_28,20160303,1
20150816_MTWTF--_28,20160304,1
20150816_MTWTF--_28,20160307,1
20150816_MTWTF--_28,20160308,1
20150816_MTWTF--_28,20160309,1
20150816_MTWTF--_28,20160310,1
20150816_MTWTF--_28,20160311,1
20150816_MTWTF--_28,20160314,1
20150816_MTWTF--_28,20160315,1
20150816_MTWTF--_28,20160316,1
20150816_MTWTF--_28,20160317,1
20150816_MTWTF--_28,20160318,1
20150816_MTWTF--_28,20160321,1
20150816_MTWTF--_28,20160322,1
20150816_MTWTF--_28,20160323,1
20150816_MTWTF--_28,20160324,2
20150816_MTWTF--_28,20160325,2
20150816_MTWTF--_28,20160328,2
20150816_MTWTF--_28,20160329,1
20150816_MTWTF--_28,20160330,1
20150816_MTWTF--_28,20160331,1
20150816_MTWTF--_28,20160401,1
20150816_MTWTF--_28,20160404,1
20150816_MTWTF--_28,20160405,1
20150816_MTWTF--_28,20160406,1
20150816_MTWTF--_28,20160407,1
20150816_MTWTF--_28,20160408,1
20150816_MTWTF--_28,20160411,1
20150816_MTWTF--_28,20160412,1
20150816_MTWTF--_28,20160413,1
20150816_MTWTF--_28,20160414,1
20150816_MTWTF--_28,20160415,1
20150816_MTWTF--_28,20160418,1
20150816_MTWTF--_28,20160419,1
20150816_MTWTF--_28,20160420,1
20150816_MTWTF--_28,20160421,2
20150816_MTWTF--_28,20160422,1
20150816_MTWTF--_28,20160425,1
20150816_MTWTF--_28,20160426,1
20150816_MTWTF--_28,20160427,1
20150816_MTWTF--_28,20160428,1
20150816_MTWTF--_28,20160429,1
20150816_MTWTF--_28,20160502,1
20150816_MTWTF--_28,20160503,1
20150816_MTWTF--_28,20160504,1
20150816_MTWTF--_28,20160505,2
20150816_MTWTF--_28,20160506,1
20150816_MTWTF--_28,20160509,1
20150816_MTWTF--_28,20160510,1
20150816_MTWTF--_28,20160511,1
20150816_MTWTF--_28,20160512,1
20150816_MTWTF--_28,20160513,1
20150816_MTWTF--_28,20160516,2
20150816_MTWTF--_28,20160517,1
20150816_MTWTF--_28,20160518,1
20150816_MTWTF--_28,20160519,1
20150816_MTWTF--_28,20160520,1
20150816_MTWTF--_28,20160523,1
20150816_MTWTF--_28,20160524,1
20150816_MTWTF--_28,20160525,1
20150816_MTWTF--_28,20160526,1
20150816_MTWTF--_28,20160527,1
20150816_MTWTF--_28,20160530,1
20150816_MTWTF--_28,20160531,1
20150816_MTWTF--_28,20160601,1
20150816_MTWTF--_28,20160602,1
20150816_MTWTF--_28,20160603,1
20150816_MTWTF--_28,20160606,1
20150816_MTWTF--_28,20160607,1
20150816_MTWTF--_28,20160608,1
20150816_MTWTF--_28,20160609,1
20150816_MTWTF--_28,20160610,1
20150816_MTWTF--_28,20160613,1
20150816_MTWTF--_28,20160614,1
20150830_------S_44,20150830,1
20150830_------S_44,20150906,1
20150830_------S_44,20150913,1
20150830_------S_44,20150920,1
20150830_------S_44,20150927,1
20150830_------S_44,20151004,1
20150830_------S_44,20151011,1
20150830_------S_44,20151018,1
20150830_------S_44,20151025,1
20150830_------S_44,20151101,1
20150830_------S_44,20151108,1
20150830_------S_44,20151115,1
20150830_------S_44,20151122,1
20150830_------S_44,20151129,1
20150830_------S_44,20151206,1
20150830_------S_44,20151213,1
20150830_------S_44,20151220,1
20150830_------S_44,20151226,1
20150830_------S_44,20151227,1
20150830_------S_44,20160103,1
20150830_------S_44,20160110,1
20150830_------S_44,20160117,1
20150830_------S_44,20160124,1
20150830_------S_44,20160131,1
20150830_------S_44,20160207,1
20150830_------S_44,20160214,1
20150830_------S_44,20160221,1
20150830_------S_44,20160228,1
20150830_------S_44,20160306,1
20150830_------S_44,20160313,1
20150830_------S_44,20160320,1
20150830_------S_44,20160324,1
20150830_------S_44,20160325,1
20150830_------S_44,20160327,1
20150830_------S_44,20160328,1
20150830_------S_44,20160403,1
20150830_------S_44,20160410,1
20150830_------S_44,20160417,1
20150830_------S_44,20160421,1
20150830_------S_44,20160424,1
20150830_------S_44,20160501,1
20150830_------S_44,20160505,1
20150830_------S_44,20160508,1
20150830_------S_44,20160515,1
20150830_------S_44,20160516,1
20150830_------S_44,20160522,1
20150830_------S_50,20150830,1
20150830_------S_50,20150906,1
20150830_------S_50,20150913,1
20150830_------S_50,20150920,1
20150830_------S_50,20150927,1
20150830_------S_50,20151004,1
20150830_------S_50,20151011,1
20150830_------S_50,20151018,1
20150830_------S_50,20151025,1
20150830_------S_50,20151101,1
20150830_------S_50,20151108,1
20150830_------S_50,20151115,1
20150830_------S_50,20151122,1
20150830_------S_50,20151129,1
20150830_------S_50,20151206,1
20150830_------S_50,20151213,1
20150830_------S_50,20151220,1
20150830_------S_50,20151226,1
20150830_------S_50,20151227,1
20150830_------S_50,20160103,1
20150830_------S_50,20160110,1
20150830_------S_50,20160117,1
20150830_------S_50,20160124,1
20150830_------S_50,20160131,1
20150830_------S_50,20160207,1
20150830_------S_50,20160214,1
20150830_------S_50,20160221,1
20150830_------S_50,20160228,1
20150830_------S_50,20160306,1
20150830_------S_50,20160313,1
20150830_------S_50,20160320,1
20150830_------S_50,20160324,1
20150830_------S_50,20160325,1
20150830_------S_50,20160327,1
20150830_------S_50,20160328,1
20150830_------S_50,20160403,1
20150830_------S_50,20160410,1
20150830_------S_50,20160417,1
20150830_------S_50,20160421,1
20150830_------S_50,20160424,1
20150830_------S_50,20160501,1
20150830_------S_50,20160505,1
20150830_------S_50,20160508,1
20150830_------S_50,20160515,1
20150830_------S_50,20160516,1
20150830_------S_50,20160522,1
20150830_------S_50,20160529,1
20150830_-----S-_43,20150905,1
20150830_-----S-_43,20150912,1
20150830_-----S-_43,20150919,1
20150830_-----S-_43,20150926,1
