stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
10000886,SALAVE6,Versalir,64.091554000000002,-21.858180999999998,0
10000887,SALAVE1,Salavegur / Fensalir,64.093776000000005,-21.853171,0
10000889,SALAVE2,Salavegur / Kórsalir,64.092119999999994,-21.846356,0
10000891,SALAVE7,Salavegur / Ársalir,64.094489999999993,-21.857976000000001,0
10000892,FITJALI,Hlíðarvegur / Grænatunga,64.108301999999995,-21.895524000000002,0
10000893,LINDARV,Hlíðarvegur / Vogatunga,64.107808000000006,-21.901346,0
10000894,HLÍÐAR9,Hlíðarvegur / Hrauntunga,64.108751999999996,-21.890087999999999,0
10000895,SKÁLAH1,Hlíðarhjalli / Brekkuhjalli,64.107586999999995,-21.879615999999999,0
10000900,SMÁRAH3,Smárahvammsvegur / Hlíðarsmári,64.097631000000007,-21.891483999999998,0
10000901,SMÁRAH2,Smáralind,64.100014999999999,-21.889215,0
10000903,SMÁRAHV,Smáralind,64.099988999999994,-21.889837,0
10000904,SMÁRAH1,Smárahvammsvegur / Hlíðarsmári,64.097616000000002,-21.891752,0
10000905,FÍFUHV8,Versalir,64.091631000000007,-21.858004000000001,0
10000906,KÁRSNE4,Kársnesbraut / Huldubraut,64.114277000000001,-21.914967000000001,0
10000907,HVAMMSV,Hvammsvegur,64.096463,-21.858741999999999,0
10000908,HLÍÐA11,Hlíðardalsvegur / Iðalind,64.098855,-21.862279999999998,0
10000909,HLÍÐA10,Hlíðardalsvegur / Krossalind,64.102216999999996,-21.863889,0
10000910,LINDAR3,Lindarvegur,64.100793999999993,-21.871763000000001,0
10000911,SALAVE8,Salavegur / Rjúpnasalir,64.090012000000002,-21.843933,0
10000917,SKÁLAH4,Skálaheiði,64.110944000000003,-21.873839,0
10000918,HJALLAK,Hjallakirkja,64.109514000000004,-21.866139,0
10000919,HLÍÐA12,Hlíðarhjalli / Fífuhjalli,64.107695000000007,-21.860097,0
10000920,BÚÐAKÓR,Rjúpnavegur,64.086819000000006,-21.833739999999999,0
10000922,BÚÐAKÓ2,Hörðuvallaskóli,64.084613000000004,-21.825444000000001,0
10000923,BÚÐAKÓ5,Hörðuvallaskóli,64.084677999999997,-21.826077999999999,0
10000925,BÚÐAKÓ3,Rjúpnavegur,64.086905000000002,-21.833584999999999,0
10000926,SKÁLAH5,Skálaheiði,64.110980999999995,-21.873669,0
10000927,ENGIHJA,Engihjalli,64.109807000000004,-21.860417999999999,0
10000928,ÁLFHÓL3,Álfhólsskóli / Efstihjalli,64.110826000000003,-21.862431000000001,0
10000945,VATNSE3,Vatnsendavegur / Breiðahvarf,64.090773999999996,-21.807935000000001,0
10000946,ÁLFHÓL5,Álfhólsskóli / Digranes,64.111428000000004,-21.872992,0
10000948,NÝBÝL12,Lundur,64.114587,-21.894919999999999,0
10000950,ÞINGMAN,Þingmannaleið / Vallakór,64.083771999999996,-21.818532999999999,0
10000951,BOÐAÞIN,Boðaþing,64.082119000000006,-21.817871,0
10000953,VATNSE6,Vatnsendahvarf / Víkurhvarf,64.093626,-21.808357000000001,0
10000954,VATNSE7,Vatnsendahvarf / Ögurhvarf,64.096424999999996,-21.805488,0
10000955,VATNSE9,Vatnsendahvarf / Ögurhvarf,64.096530000000001,-21.805769999999999,0
10000956,VATNSE8,Vatnsendahvarf / Víkurhvarf,64.093697000000006,-21.808651000000001,0
10000957,DALAÞIN,Dalaþing,64.08076,-21.813769,0
10009990,KÓPAV./,Kópav./Garðab.,64.1018307451979,-21.9083315266749,0
10009991,KÓPAV.1,Kópav./Reykjav.,64.0971003397632,-21.8053916893437,0
10009992,KÓPAV.2,Kópav./Garðab.,64.0991756105425,-21.9064140490709,0
10009993,KÓPAV.3,Kópav./Garðab.,64.1032351751967,-21.905127794887,0
10009994,KÓPAV.4,Kópav./Reykjav.,64.1135103533253,-21.8439007105743,0
11000100,NESVEG7,Grænamýri,64.146191000000002,-21.977658999999999,0
11000101,NESVEG8,Nesvegur / Skerjabraut,64.148336,-21.98321,0
11000102,SUÐURS4,Eiðistorg,64.150700999999998,-21.987076999999999,0
11000103,SUÐURS5,Íþróttamiðstöð Seltjarnarness,64.149907999999996,-21.992431,0
11000104,SUÐURS6,Suðurströnd / Bakkavör,64.151323000000005,-22.002625999999999,0
11000105,SUÐURS7,Suðurströnd / Miðbraut,64.153259000000006,-22.004812000000001,0
11000106,LINDAR4,Lindarbraut / Hæðarbraut,64.155473000000001,-22.003511,0
11000107,LINDAR5,Lindarbraut / Hofgarðar,64.157640000000001,-22.001297000000001,0
11000108,NORÐU15,Norðurströnd / Bollagarðar,64.157635999999997,-21.992570000000001,0
11000109,NORÐU17,Norðurströnd / Fornaströnd,64.154798,-21.986626999999999,0
11000110,NORÐU18,Norðurströnd / Austurströnd,64.152591999999999,-21.985946999999999,0
11000111,NESVE11,Eiðistorg,64.150386999999995,-21.9861,0
11000112,NESVE10,Nesvegur / Skerjabraut,64.148036000000005,-21.982980999999999,0
11000113,NESVEG9,Grænamýri,64.146086999999994,-21.977692000000001,0
11000147,NORÐU16,Norðurströnd / Barðaströnd,64.156782000000007,-21.988204,0
11009990,SELTJAR,Seltjarnarn./Reykjav.,64.1458914209074,-21.9766058205449,0
11009991,SELTJA1,Seltjarnarn./Reykjav.,64.1508147073592,-21.9820042262986,0
13001201,HAFNAR2,Arnarneshæð,64.099867000000003,-21.916848999999999,0
13001202,ARNARNE,Arnarneshæð,64.099334999999996,-21.913226000000002,0
13001204,ARNARN4,Arnarneshæð,64.099529000000004,-21.912901999999999,0
13001206,VÍFILS9,Vífilsstaðavegur / Sjávargrund,64.091965000000002,-21.929767999999999,0
13001207,ARNARN1,Arnarnesvegur / Bæjarbraut,64.098382999999998,-21.903811000000001,0
13001208,KARLAB1,Karlabraut / Reynilundur,64.085650999999999,-21.909578,0
13001209,KARLAB3,Karlabraut / Espilundur,64.085800000000006,-21.909279000000002,0
13001210,KARLAB5,Karlabraut / Furulundur,64.088234999999997,-21.907285000000002,0
13001211,KARLAB2,Karlabraut / Búðir,64.089626999999993,-21.904301,0
13001212,KARLAB4,Karlabraut / Heiðarlundur,64.088218999999995,-21.907533000000001,0
13001215,HOFSTA2,Vídalínskirkja,64.088155999999998,-21.913115999999999,0
13001216,HOFSTAÐ,Vídalínskirkja,64.088003,-21.913181000000002,0
13001218,VÍFILSS,Vídalínskirkja,64.086775000000003,-21.916422000000001,0
13001219,VÍFILS4,Garðatorg,64.088500999999994,-21.922039000000002,0
13001220,BÆJARBR,Garðatorg,64.089601999999999,-21.921188999999998,0
13001221,BÆJARB1,Hofsstaðabraut / Lyngmóar,64.091297999999995,-21.914408000000002,0
13001222,BÆJARB7,Fjölbrautaskólinn í Garðabæ / FG,64.092528000000001,-21.902847000000001,0
13001223,BÆJARB6,Bæjarbraut / Blómahæð,64.096422000000004,-21.902784,0
13001224,KARLABR,Karlabraut / Búðir,64.089579999999998,-21.904582999999999,0
13001225,BÆJARB4,Bæjarbraut / Maltakur,64.096019999999996,-21.90212,0
13001226,BÆJARB5,Fjölbrautaskólinn í Garðabæ / FG,64.092585,-21.903220999999998,0
13001227,BÆJARB3,Hofsstaðabraut / Hlíðarbyggð,64.091082,-21.914151,0
13001228,BÆJARB2,Garðatorg,64.089523999999997,-21.921489000000001,0
13001232,IKEA,IKEA,64.075575000000001,-21.913277999999998,0
13001233,FLATAH2,Flatahraun / Álftanesvegur,64.077515000000005,-21.929596,0
13001234,BÆJAR14,Bæjarbraut / Línakur,64.0979809046859,-21.9071613098249,0
13001300,ÁSGARÐ2,Ásgarður,64.089679000000004,-21.929797000000001,0
13001301,ÁSABRAU,Ásabraut / Arnarás,64.09075,-21.942955999999999,0
13001302,ÁSABRA3,Ásabraut / Birkiás,64.088076000000001,-21.940529000000002,0
13001303,ÁSABRA2,Ásabraut / Brekkuás,64.086973,-21.942166,0
